Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,predicted_is_fraud
1044,2020-06-21 18:08:47,4302480582202074,"fraud_Towne, Greenholt and Koepp",shopping_net,981.92,David,Rodriguez,M,821 Solis Points,Muskegon,MI,49440,43.2326,-86.2492,128715,Historic buildings inspector/conservation officer,1995-05-25,3b1e799de5fa593a74b851b9d5f8bbe1,1371838127,43.849101,-85.560458,0,1
1695,2020-06-21 22:09:41,4427805710168,fraud_Lebsack and Sons,misc_net,890.22,Michelle,Rodriguez,F,1742 Brandon Squares Apt. 461,Ruidoso,NM,88355,33.3305,-105.6933,8874,Licensed conveyancer,2000-08-16,670e9fd071e3745d6d90b5ee5f29c64c,1371852581,34.154798,-106.551531,0,1
1767,2020-06-21 22:32:22,6564459919350820,"fraud_Rodriguez, Yost and Jenkins",misc_net,780.52,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958-09-10,ab4b379d2c0c9c667d46508d4e126d72,1371853942,42.461127000000005,-91.147148,1,1
1781,2020-06-21 22:37:27,6564459919350820,fraud_Nienow PLC,entertainment,620.33,Douglas,Willis,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,42.5545,-90.3508,1306,Public relations officer,1958-09-10,47a9987ae81d99f7832a54b29a77bf4b,1371854247,42.771834000000005,-90.158365,1,1
1784,2020-06-21 22:38:55,4005676619255478,"fraud_Heathcote, Yost and Kertzmann",shopping_net,1077.69,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,fe956c7e4a253c437c18918bf96f7b62,1371854335,31.204974,-90.261595,1,1
1839,2020-06-21 22:56:06,4067137330196900,"fraud_Cronin, Kshlerin and Weber",health_fitness,348.33,Christina,Eaton,F,3256 Brooks Field,Eldridge,AL,35554,33.9315,-87.6194,1186,Politician's assistant,1986-11-12,dfc01722a538ed57cf91672206761396,1371855366,34.690028000000005,-88.245649,0,1
1906,2020-06-21 23:21:44,4005676619255478,fraud_Kuhic LLC,shopping_net,1128.26,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,eb388ceabaf56474808664772b2d5853,1371856904,30.354797,-91.146131,1,1
1921,2020-06-21 23:24:19,3562264947797243,"fraud_Runte, Green and Emard",health_fitness,295.64,Anthony,Velasquez,M,609 Hunt Grove,Saint Francis,KY,40062,37.6047,-85.4251,301,"Research officer, political party",1967-03-17,5c8f974204f18b960fc39143e6286c8b,1371857059,37.152263,-84.49728,0,1
1956,2020-06-21 23:35:27,4005676619255478,"fraud_Reichert, Rowe and Mraz",shopping_net,931.82,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,aff46f2741b3501d32b447f842618666,1371857727,30.761363,-91.7136,1,1
1968,2020-06-21 23:40:26,4005676619255478,"fraud_Kihn, Abernathy and Douglas",shopping_net,983.0,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,1994-05-31,8cabf98e58e2b29f7684362fea1f026c,1371858026,29.902451,-91.749089,1,1
